Ativo,Estrategia,Original_Signal,Executed_Dir,Entry_Date,Date,Entry_Price,Exit_Price,Hold_Days,Exit_Reason,Metric,PNL,Return_%
CPLE3,Vol_Climax,Buy,Sell,2025-03-06,2025-03-12,8.25,8.44,5,Time Exit,Vz:2.8,-1151.52,-2.3
BHIA3,Vol_Climax,Sell,Buy,2025-03-12,2025-03-12,5.2,5.85,1,Take Profit,Vz:3.5,6250.0,12.5
AGRO3,Vol_Climax,Sell,Buy,2025-03-06,2025-03-12,19.84,20.62,5,Time Exit,Vz:3.7,1965.73,3.93
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-03-11,2025-03-12,120.55,120.74,1,Daily Cash MtM,Beta,143.92,0.1576
B3SA3,OU_MR,Buy,Sell,2025-02-28,2025-03-12,10.11,10.02,7,Time Exit,HL:7.4,445.1,0.89
AZZA3,OU_MR,Buy,Sell,2025-03-05,2025-03-12,23.61,20.81,6,Time Exit,HL:6.9,5929.69,11.86
BPAC11,OU_MR,Sell,Buy,2025-02-20,2025-03-12,32.21,31.44,13,Time Exit,HL:13.4,-1195.28,-2.39
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-03-12,2025-03-13,120.74,122.51,1,Daily Cash MtM,Beta,5196.77,1.466
BRKM5,OU_MR,Buy,Sell,2025-02-27,2025-03-13,11.71,10.25,9,Take Profit,HL:9.6,6233.99,12.47
ASAI3,OU_MR,Buy,Sell,2025-03-10,2025-03-13,6.65,7.32,4,Stop Loss,HL:13.7,-5037.59,-10.08
GGPS3,OU_MR,Buy,Sell,2025-03-10,2025-03-13,11.67,11.9,4,Time Exit,HL:4.2,-985.43,-1.97
BHIA3,VWAP_Divergence,Sell,Buy,2025-03-13,2025-03-13,5.3,4.77,1,Stop Loss,Div:43.2%,-5000.0,-10.0
CXSE3,OU_MR,Sell,Buy,2025-03-07,2025-03-14,14.61,14.54,6,Time Exit,HL:6.9,-239.56,-0.48
CASH3,Vol_Climax,Sell,Buy,2025-03-10,2025-03-14,3.38,3.52,5,Time Exit,Vz:2.7,2071.01,4.14
MGLU3,OU_MR,Sell,Buy,2025-03-13,2025-03-14,8.0,9.0,2,Take Profit,HL:4.9,6250.0,12.5
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-03-13,2025-03-14,122.51,125.75,1,Daily Cash MtM,Beta,8063.71,2.6447
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-03-14,2025-03-17,125.75,127.76,1,Daily Cash MtM,Beta,3533.26,1.5984
BBSE3,OU_MR,Sell,Buy,2025-03-05,2025-03-17,33.31,35.17,9,Time Exit,HL:9.4,2791.95,5.58
DASA3,OU_MR,Sell,Buy,2025-03-14,2025-03-17,1.89,1.9,2,Time Exit,HL:2.8,264.55,0.53
CMIN3,OU_MR,Sell,Buy,2025-03-17,2025-03-18,5.65,5.74,2,Time Exit,HL:2.8,796.46,1.59
EGIE3,OU_MR,Sell,Buy,2025-03-12,2025-03-18,25.31,26.36,5,Time Exit,HL:5.2,2074.28,4.15
BEEF3,OU_MR,Sell,Buy,2025-03-14,2025-03-18,4.93,5.34,3,Time Exit,HL:3.4,4158.22,8.32
GMAT3,OU_MR,Buy,Sell,2025-03-10,2025-03-18,6.07,6.26,7,Time Exit,HL:7.2,-1565.07,-3.13
