Ativo	Entry_Date	Date	tranches_deployed	vwap_entry	exit_price	PNL	return_pct	exit_reason
AURE3	2024-03-05	2024-04-03	2	11.98	11.95	-53.72	-0.25	Take Profit
VALE3	2024-03-12	2024-04-03	2	51.89	51.85	-15.41	-0.07	Take Profit
CASH_SWEEP_BOVA11	2024-04-02	2024-04-03	0	123.74	123.54	-1,159.78	-0.16	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-04-03	2024-04-04	0	123.54	123.68	787.08	0.11	Daily Cash MtM
VIVT3	2024-03-26	2024-04-05	1	22.32	23.07	366.35	3.36	Take Profit
CASH_SWEEP_BOVA11	2024-04-04	2024-04-05	0	123.68	122.90	-4,456.24	-0.63	Daily Cash MtM
BBSE3	2024-03-22	2024-04-08	1	25.60	26.29	299.59	2.70	Take Profit
IRBR3	2024-03-27	2024-04-08	1	36.88	41.90	1,483.68	13.61	Take Profit
CASH_SWEEP_BOVA11	2024-04-05	2024-04-08	0	122.90	125.13	13,172.09	1.81	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-04-08	2024-04-09	0	125.13	126.21	6,285.63	0.86	Daily Cash MtM
ENGI11	2024-03-18	2024-04-10	1	39.42	39.90	133.27	1.22	Take Profit
CASH_SWEEP_BOVA11	2024-04-09	2024-04-10	0	126.21	124.15	-12,170.04	-1.63	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-04-10	2024-04-11	0	124.15	123.72	-2,231.66	-0.35	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-04-11	2024-04-12	0	123.72	122.12	-7,880.70	-1.29	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-04-12	2024-04-15	0	122.12	121.55	-2,605.26	-0.47	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-04-15	2024-04-16	0	121.55	120.85	-1,787.37	-0.58	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-04-16	2024-04-17	0	120.85	120.54	-198.12	-0.26	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-04-17	2024-04-18	0	120.54	120.48	-1.91	-0.05	Daily Cash MtM
CMIN3	2024-01-17	2024-04-22	3	4.90	4.29	-5,528.75	-12.53	Take Profit
SAPR11	2024-04-17	2024-04-22	1	22.16	23.01	403.34	3.84	Take Profit
CASH_SWEEP_BOVA11	2024-04-19	2024-04-22	0	121.52	121.80	98.79	0.23	Daily Cash MtM
CPLE3	2024-03-27	2024-04-23	2	7.71	7.71	-8.69	-0.04	Take Profit
TOTS3	2024-03-27	2024-04-23	2	27.10	27.70	481.68	2.21	Take Profit
RDOR3	2024-04-17	2024-04-23	1	20.82	21.64	414.15	3.94	Take Profit
CASH_SWEEP_BOVA11	2024-04-22	2024-04-23	0	121.80	121.41	-247.37	-0.32	Daily Cash MtM
FLRY3	2024-03-14	2024-04-24	2	12.27	12.59	560.30	2.61	Take Profit
SANB11	2024-04-11	2024-04-24	1	23.90	24.09	88.57	0.79	Take Profit
CASH_SWEEP_BOVA11	2024-04-23	2024-04-24	0	121.41	120.97	-209.06	-0.36	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-04-24	2024-04-25	0	120.97	120.91	-2.58	-0.05	Daily Cash MtM
ENEV3	2024-04-18	2024-04-26	1	12.01	12.80	687.88	6.58	Take Profit
CASH_SWEEP_BOVA11	2024-04-25	2024-04-26	0	120.91	122.83	94.77	1.59	Daily Cash MtM
PSSA3	2024-04-24	2024-04-29	1	25.98	27	412.92	3.93	Take Profit
SMFT3	2024-04-16	2024-04-29	1	22.33	23.38	501.29	4.70	Take Profit
CASH_SWEEP_BOVA11	2024-04-26	2024-04-29	0	122.83	123.77	734.34	0.77	Daily Cash MtM
CURY3	2024-04-16	2024-04-29	2	14.33	15.75	2,104.08	9.94	Take Profit
BPAC11	2024-04-16	2024-04-29	2	31.58	32.09	341.80	1.61	Take Profit
DIRR3	2024-04-16	2024-04-29	2	5.73	6.23	1,827.91	8.63	Take Profit
BBDC3	2024-04-23	2024-04-30	1	9.86	10.16	317.23	3.04	Take Profit
RADL3	2024-04-17	2024-04-30	1	23.78	24.14	159.19	1.51	Take Profit
CASH_SWEEP_BOVA11	2024-04-29	2024-04-30	0	123.77	122.38	-3,435.45	-1.12	Daily Cash MtM
SLCE3	2024-04-16	2024-04-30	1	14.13	15.10	731.84	6.86	Take Profit
COGN3	2024-04-16	2024-04-30	3	1.74	1.90	3,814.91	9.06	Take Profit
MRVE3	2024-04-11	2024-04-30	3	6.58	6.87	1,923.45	4.44	Take Profit
HYPE3	2024-04-11	2024-04-30	2	27.59	27.21	-303.60	-1.38	Take Profit
INTB3	2024-04-09	2024-04-30	2	17.15	18.65	1,920.40	8.73	Take Profit
YDUQ3	2024-03-19	2024-04-30	1	16.72	13.98	-1,777.44	-16.39	Take Profit
BHIA3	2024-03-18	2024-04-30	3	6.31	7.47	8,034.86	18.41	Take Profit
ABEV3	2024-03-04	2024-05-02	1	10.38	10.21	-180.99	-1.64	Take Profit
CASH_SWEEP_BOVA11	2024-04-30	2024-05-02	0	122.38	123.35	2,226.49	0.79	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-05-02	2024-05-03	0	123.35	124.82	4,638.29	1.19	Daily Cash MtM
IGTI11	2024-04-16	2024-05-03	2	20.19	21.25	1,107.29	5.23	Take Profit
AXIA6	2024-04-12	2024-05-03	2	28.95	30.24	960.78	4.45	Take Profit
AXIA3	2024-04-12	2024-05-03	2	33.94	34.76	521.17	2.42	Take Profit
CVCB3	2024-03-28	2024-05-03	3	2.68	2.38	-4,893.96	-11.11	Take Profit
