Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL,lot_size
2024-01-11,SYNE3,32,0.72,1.4,3.43,-4.88,63204.0,SYNE3_Down_0.5_high_Afastado_0_Buy_Pavio,1.77,1.0,0.72,0.72,1,False,1.7,1.77,-1974.0000000000002,28200
2024-01-11,TASA4,55,0.71,1.0,3.3,-3.01,60341.0,TASA4_Up_0.5_open_Afastado_0_Sell_Pavio,13.12,0.75,0.71,0.7,1,False,13.08,13.12,151.9999999999966,3800
2024-01-11,VITT3,24,0.71,1.95,4.55,-4.9,59998.0,VITT3_Down_0.5_high_Afastado_0.5_Buy_Pavio,8.71,0.75,0.71,0.71,1,False,8.54,8.71,-969.0000000000098,5700
2024-01-12,AGXY3,14,0.71,2.81,5.46,-2.92,62022.0,AGXY3_Down_1.5_high_Afastado_-1_Sell_Corpo,46.63,0.75,0.71,0.71,1,False,45.15,46.63,1628.0000000000043,1100
2024-01-12,BPAN4,29,0.72,1.36,4.2,-4.25,60847.0,BPAN4_Down_0.5_low_Afastado_-1_Sell_Movimento,7.72,1.0,0.72,0.72,1,False,7.99,7.72,-1755.0000000000027,6500
2024-01-12,ELET3,20,0.8,1.13,3.95,-4.39,58807.0,ELET3_Up_0.5_low_Afastado_0_Sell_Movimento,42.38,1.0,0.8,0.8,1,False,42.93,42.38,-659.9999999999966,1200
2024-01-12,GGBR4,37,0.76,0.93,4.05,-2.98,59387.0,GGBR4_Down_0.5_close_Afastado_0_Sell_Corpo,16.72,1.0,0.76,0.76,1,True,16.81,16.72,-269.99999999999943,3000
2024-01-12,GGPS3,59,0.71,1.05,4.3,-4.38,63002.0,GGPS3_Up_0.5_open_Afastado_-1_Sell_Pavio,17.82,0.75,0.71,0.68,1,False,17.69,17.82,363.9999999999972,2800
2024-01-12,HASH11,40,0.75,0.9,3.75,-4.13,59475.0,HASH11_Up_0.5_open_Afastado_-0.5_Buy_GAP,36.24,1.0,0.75,0.75,1,False,34.44,36.24,-2520.0000000000064,1400
2024-01-12,ISAE4,47,0.72,0.94,3.03,-3.11,60710.0,ISAE4_Down_0.5_close_Afastado_0.5_Sell_Pavio,24.85,0.75,0.72,0.72,1,True,24.6,24.85,500.0,2000
2024-01-12,LJQQ3,11,0.73,2.65,6.47,-4.28,59419.0,LJQQ3_Down_1.5_high_Afastado_-1_Sell_Corpo,5.46,0.75,0.73,0.73,1,True,5.33,5.46,1195.999999999999,9200
2024-01-12,MILS3,17,0.76,2.19,3.45,-3.01,63228.0,MILS3_Down_2_close_Afastado_0.5_Buy_Corpo,12.18,1.0,0.76,0.76,1,True,12.25,12.18,287.0000000000008,4100
2024-01-12,PCAR3,47,0.79,2.32,6.78,-4.36,86070.0,PCAR3_Down_0.5_low_Afastado_0_Sell_Corpo,3.67,1.0,0.79,0.79,1,True,4.08,3.67,-5576.000000000001,13600
2024-01-12,POMO3,42,0.74,1.64,5.94,-3.44,68703.0,POMO3_Down_0.5_close_Afastado_1_Buy_Pavio,4.17,1.0,0.74,0.74,1,False,4.03,4.17,-1679.9999999999952,12000
2024-01-12,RAPT4,17,0.82,1.93,5.6,-3.41,61402.0,RAPT4_Down_0.5_open_Afastado_0.5_Buy_Corpo,13.17,0.75,0.82,0.82,1,False,12.63,13.17,-2051.999999999997,3800
2024-01-12,RECV3,36,0.72,1.41,3.77,-4.3,61898.0,RECV3_Down_0.5_high_Afastado_-1_Sell_Movimento,16.53,1.0,0.72,0.72,1,False,17.04,16.53,-1529.999999999994,3000
2024-01-12,SIMH3,29,0.72,1.81,5.32,-4.71,65281.0,SIMH3_Up_0.5_low_Afastado_-1_Sell_GAP,8.79,0.75,0.72,0.72,1,False,8.92,8.79,-741.000000000004,5700
2024-01-12,SYNE3,32,0.72,1.4,3.43,-4.88,63204.0,SYNE3_Down_0.5_high_Afastado_0_Buy_Pavio,1.76,1.0,0.72,0.72,1,False,1.69,1.76,-1988.0000000000002,28400
