Date,Ativo,Rastreador,Entry_Open,Exit_Close,PNL,Entry_Date,Costs_R$,Rel_Volume_Entry
2025-03-10,CASH_SWEEP,LONG,121.95,121.3,-2694.41,2025-03-07,0.0,0.0
2025-03-11,HYPE3,LONG,17.52,17.89,2704.9,2025-03-05,272.15,7.5
2025-03-11,CASH_SWEEP,LONG,121.3,120.55,-3957.85,2025-03-10,0.0,0.0
2025-03-12,CASH_SWEEP,LONG,120.55,120.74,1002.63,2025-03-11,0.0,0.0
2025-03-13,CASH_SWEEP,LONG,120.74,122.51,9340.54,2025-03-12,0.0,0.0
2025-03-14,CASH_SWEEP,LONG,122.51,125.75,9573.99,2025-03-13,0.0,0.0
2025-03-17,CASH_SWEEP,LONG,125.75,127.76,3688.54,2025-03-14,0.0,0.0
2025-03-18,CASH_SWEEP,LONG,127.76,128.26,917.53,2025-03-17,0.0,0.0
2025-03-19,CASH_SWEEP,LONG,128.26,129.6,2459.05,2025-03-18,0.0,0.0
2025-03-20,CASH_SWEEP,LONG,129.6,128.85,343.11,2025-03-19,0.0,0.0
2025-03-21,CASH_SWEEP,LONG,128.85,128.98,-376.28,2025-03-20,0.0,0.0
2025-03-24,CXSE3,LONG,13.95,13.88,-943.2,2025-03-21,313.09,4.37
2025-03-24,CASH_SWEEP,LONG,128.98,128.19,4221.78,2025-03-21,0.0,0.0
2025-03-25,CXSE3,LONG,13.88,13.75,-1627.25,2025-03-24,312.93,3.62
2025-03-25,ENEV3,LONG,12.08,11.98,-1456.5,2025-03-24,313.1,3.47
2025-03-25,CASH_SWEEP,LONG,128.19,129.04,-2479.2,2025-03-24,0.0,0.0
2025-03-26,CASH_SWEEP,LONG,129.04,129.24,-583.38,2025-03-25,0.0,0.0
2025-03-27,CASH_SWEEP,LONG,129.24,129.78,-1575.02,2025-03-26,0.0,0.0
2025-03-28,CASH_SWEEP,LONG,129.78,128.69,4595.13,2025-03-27,0.0,0.0
2025-03-31,CASH_SWEEP,LONG,128.69,127.3,5859.86,2025-03-28,0.0,0.0
2025-04-01,CPFE3,LONG,34.8,37.68,11598.79,2025-02-20,295.91,3.62
2025-04-01,CASH_SWEEP,LONG,127.3,128.04,-3228.71,2025-03-31,0.0,0.0
2025-04-02,RDOR3,LONG,25.53,25.3,-1722.07,2025-04-01,343.04,3.54
2025-04-02,CASH_SWEEP,LONG,128.04,128.9,-2607.25,2025-04-01,0.0,0.0
2025-04-03,CMIN3,LONG,5.34,5.39,1187.12,2025-03-14,285.68,3.77
2025-04-03,CASH_SWEEP,LONG,128.9,128.1,1536.01,2025-04-02,0.0,0.0
2025-04-04,CASH_SWEEP,LONG,128.1,124.05,7776.18,2025-04-03,0.0,0.0
2025-04-07,AXIA6,LONG,30.78,31.93,4888.85,2025-03-05,274.34,3.45
2025-04-07,CVCB3,LONG,2.26,1.96,-22501.99,2025-03-28,314.64,4.36
2025-04-07,CASH_SWEEP,LONG,124.05,122.73,-502.34,2025-04-04,0.0,0.0
2025-04-08,BBSE3,LONG,32.76,35.25,10670.81,2025-02-19,295.78,5.22
2025-04-08,AXIA3,LONG,35.37,37.28,7125.97,2025-03-05,276.58,3.21
2025-04-08,BHIA3,LONG,3.54,7.77,160787.85,2025-03-10,430.83,4.5
2025-04-08,EZTC3,LONG,11.23,10.84,-5021.37,2025-03-17,276.61,4.22
2025-04-08,CASH_SWEEP,LONG,122.73,121.04,-10640.86,2025-04-07,0.0,0.0
2025-04-09,CASH_SWEEP,LONG,121.04,124.55,22100.24,2025-04-08,0.0,0.0
2025-04-10,CASH_SWEEP,LONG,124.55,123.41,-7177.85,2025-04-09,0.0,0.0
2025-04-11,CASH_SWEEP,LONG,123.41,124.72,8248.22,2025-04-10,0.0,0.0
2025-04-14,CASH_SWEEP,LONG,124.72,126.41,10640.86,2025-04-11,0.0,0.0
2025-04-15,CASH_SWEEP,LONG,126.41,126.2,-1322.28,2025-04-14,0.0,0.0
2025-04-16,CASH_SWEEP,LONG,126.2,125.28,-5792.64,2025-04-15,0.0,0.0
2025-04-17,VIVA3,LONG,18.06,18.35,2232.31,2025-03-20,299.35,4.68
2025-04-17,CASH_SWEEP,LONG,125.28,126.53,9373.5,2025-04-16,0.0,0.0
2025-04-22,CASH_SWEEP,LONG,126.53,127.33,5999.07,2025-04-17,0.0,0.0
2025-04-23,CASH_SWEEP,LONG,127.33,129.08,13122.9,2025-04-22,0.0,0.0
2025-04-24,CASH_SWEEP,LONG,129.08,131.38,17247.27,2025-04-23,0.0,0.0
2025-04-25,BEEF3,LONG,5.87,6.46,15593.76,2025-03-21,329.65,3.95
2025-04-25,CASH_SWEEP,LONG,131.38,131.49,533.09,2025-04-24,0.0,0.0
2025-04-28,CASH_SWEEP,LONG,131.49,131.65,558.45,2025-04-25,0.0,0.0
2025-04-29,CASH_SWEEP,LONG,131.65,131.86,733.04,2025-04-28,0.0,0.0
2025-04-30,CASH_SWEEP,LONG,131.86,131.63,-802.82,2025-04-29,0.0,0.0
2025-05-02,USIM5,LONG,5.83,5.54,-8794.09,2025-04-25,338.5,3.88
2025-05-02,CASH_SWEEP,LONG,131.63,131.85,1043.17,2025-04-30,0.0,0.0
2025-05-05,CASH_SWEEP,LONG,131.85,130.34,-5095.39,2025-05-02,0.0,0.0
2025-05-06,CASH_SWEEP,LONG,130.34,130.38,135.01,2025-05-05,0.0,0.0
2025-05-07,CASH_SWEEP,LONG,130.38,130.21,-573.64,2025-05-06,0.0,0.0
2025-05-08,CASH_SWEEP,LONG,130.21,133.04,9549.53,2025-05-07,0.0,0.0
2025-05-09,CASH_SWEEP,LONG,133.04,133.24,-678.15,2025-05-08,0.0,0.0
2025-05-12,SMFT3,LONG,23.25,21.36,-14805.38,2025-05-05,345.73,3.56
2025-05-12,CASH_SWEEP,LONG,133.24,133.39,-1168.42,2025-05-09,0.0,0.0
2025-05-13,SMFT3,LONG,21.36,21.34,-363.22,2025-05-12,375.36,24.58
2025-05-13,CASH_SWEEP,LONG,133.39,135.61,-14175.9,2025-05-12,0.0,0.0
2025-05-14,CASH_SWEEP,LONG,135.61,135.19,2681.91,2025-05-13,0.0,0.0
2025-05-15,MOVI3,LONG,4.58,6.08,51250.47,2025-03-24,365.86,4.66
2025-05-15,CASH_SWEEP,LONG,135.19,136.07,-4262.93,2025-05-14,0.0,0.0
2025-05-16,CASH_SWEEP,LONG,136.07,136.11,-248.07,2025-05-15,0.0,0.0
2025-05-19,CASH_SWEEP,LONG,136.11,136.42,-2356.1,2025-05-16,0.0,0.0
2025-05-20,CASH_SWEEP,LONG,136.42,136.84,-3192.14,2025-05-19,0.0,0.0
2025-05-21,CASH_SWEEP,LONG,136.84,134.59,17100.83,2025-05-20,0.0,0.0
2025-05-22,COGN3,LONG,1.39,2.45,108116.38,2025-03-14,392.72,3.2
2025-05-22,YDUQ3,LONG,10.88,14.19,44956.84,2025-03-20,342.12,5.05
2025-05-22,CYRE3,LONG,22.82,23.3,3563.85,2025-04-28,360.07,3.33
2025-05-22,CASH_SWEEP,LONG,134.59,134.05,2366.6,2025-05-21,0.0,0.0
2025-05-23,GGPS3,LONG,13.13,13.15,100.15,2025-05-22,384.4,31.82
2025-05-23,CASH_SWEEP,LONG,134.05,134.47,-1238.95,2025-05-22,0.0,0.0
2025-05-26,INTB3,LONG,13.44,12.75,-9812.99,2025-05-12,365.9,3.26
2025-05-26,CASH_SWEEP,LONG,134.47,135.01,-1630.38,2025-05-23,0.0,0.0
2025-05-27,CASH_SWEEP,LONG,135.01,136.46,-4377.95,2025-05-26,0.0,0.0
2025-05-28,CASH_SWEEP,LONG,136.46,135.71,2264.44,2025-05-27,0.0,0.0
2025-05-29,CASH_SWEEP,LONG,135.71,135.36,1056.76,2025-05-28,0.0,0.0
2025-05-30,B3SA3,LONG,13.7,13.55,-2146.71,2025-05-09,357.85,5.19
2025-05-30,CASH_SWEEP,LONG,135.36,133.99,2338.09,2025-05-29,0.0,0.0
2025-06-02,CASH_SWEEP,LONG,133.99,133.6,2933.75,2025-05-30,0.0,0.0
2025-06-03,BRKM5,LONG,11.64,10.5,-18483.02,2025-05-26,355.87,5.27
2025-06-03,EGIE3,LONG,28.61,28.23,-2776.99,2025-06-02,386.85,3.45
2025-06-03,ENEV3,LONG,13.96,13.9,-1030.26,2025-06-02,388.6,8.03
2025-06-03,CASH_SWEEP,LONG,133.6,134.4,-2700.85,2025-06-02,0.0,0.0
2025-06-04,CASH_SWEEP,LONG,134.4,133.81,2842.42,2025-06-03,0.0,0.0
2025-06-05,CASH_SWEEP,LONG,133.81,133.25,2697.89,2025-06-04,0.0,0.0
2025-06-06,TOTS3,LONG,41.55,40.3,-6043.76,2025-06-02,383.58,3.37
2025-06-06,CASH_SWEEP,LONG,133.25,133.06,923.43,2025-06-05,0.0,0.0
2025-06-09,VIVA3,LONG,21.46,23.99,20998.85,2025-05-09,381.02,3.77
2025-06-09,RDOR3,LONG,32.93,32.26,-4127.69,2025-06-04,383.36,3.24
2025-06-09,CASH_SWEEP,LONG,133.06,132.73,1110.09,2025-06-06,0.0,0.0
2025-06-10,NEOE3,LONG,21.26,23.4,17271.04,2025-04-25,364.59,4.68
2025-06-10,AZZA3,LONG,34.71,39.12,22644.18,2025-05-09,382.67,6.07
2025-06-10,BBDC3,LONG,12.22,12.65,6141.46,2025-05-09,366.15,4.38
2025-06-10,IGTI11,LONG,20.86,22.24,12215.43,2025-05-12,387.95,3.53
2025-06-10,CSMG3,LONG,21.04,22.58,13319.85,2025-05-16,383.08,3.29
2025-06-10,GMAT3,LONG,7.53,7.55,315.75,2025-06-09,382.64,4.08
2025-06-10,CASH_SWEEP,LONG,132.73,133.35,1599.04,2025-06-09,0.0,0.0
2025-06-11,CPFE3,LONG,40.57,40.26,-1680.25,2025-06-02,387.95,3.46
2025-06-11,CASH_SWEEP,LONG,133.35,133.97,1615.47,2025-06-10,0.0,0.0
2025-06-12,CASH_SWEEP,LONG,133.97,134.66,817.96,2025-06-11,0.0,0.0
2025-06-13,CASH_SWEEP,LONG,134.66,133.99,-794.24,2025-06-12,0.0,0.0
2025-06-16,TEND3,LONG,23.49,22.42,-8799.33,2025-06-11,369.99,3.29
2025-06-16,CASH_SWEEP,LONG,133.99,136.07,2296.59,2025-06-13,0.0,0.0
2025-06-17,MBRF3,LONG,24.76,24.68,-803.38,2025-05-19,379.62,6.85
2025-06-17,CASH_SWEEP,LONG,136.07,135.52,-1372.11,2025-06-16,0.0,0.0
2025-06-18,CASH_SWEEP,LONG,135.52,135.42,-249.49,2025-06-17,0.0,0.0
2025-06-20,CASH_SWEEP,LONG,135.42,133.9,-3792.0,2025-06-18,0.0,0.0
2025-06-23,SUZB3,LONG,52.02,50.6,-5485.3,2025-06-06,382.96,3.13
2025-06-23,GOAU4,LONG,7.1,6.46,-17261.9,2025-06-10,362.27,3.24
2025-06-23,SANB11,LONG,28.29,27.75,-3814.5,2025-06-12,376.7,3.4
2025-06-23,CASH_SWEEP,LONG,133.9,133.47,-1590.87,2025-06-20,0.0,0.0
2025-06-24,EQTL3,LONG,34.39,34.17,-1424.17,2025-06-23,384.35,3.06
2025-06-24,SMFT3,LONG,23.05,22.89,-1528.93,2025-06-23,384.24,3.23
2025-06-24,CASH_SWEEP,LONG,133.47,134.07,3939.09,2025-06-23,0.0,0.0
2025-06-25,CASH_SWEEP,LONG,134.07,132.55,-9978.96,2025-06-24,0.0,0.0
